state,district,crop,season,year_start,year_end,area_hectare,production,yield_per_hectare,production_unit,yield_unit
Uttar Pradesh,Amethi,Rapeseed &Mustard,Rabi,2021,2022,1190.0,885.0,0.74,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Rapeseed &Mustard,Rabi,2022,2023,13765.0,14756.0,1.07,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Rice,Kharif,2020,2021,119311.0,318202.0,2.67,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Rice,Kharif,2021,2022,119900.0,288839.0,2.41,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Rice,Kharif,2022,2023,119900.0,322531.0,2.69,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Sesamum,Kharif,2020,2021,645.0,200.0,0.31,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Sesamum,Kharif,2021,2022,834.0,189.0,0.23,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Sesamum,Kharif,2022,2023,681.0,159.0,0.23,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Small millets,Kharif,2020,2021,85.0,69.0,0.81,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Small millets,Kharif,2022,2023,114.0,86.0,0.75,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Sunflower,Summer,2020,2021,165.0,226.0,1.37,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Sunflower,Summer,2021,2022,153.0,205.0,1.34,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Sunflower,Summer,2022,2023,32.0,44.0,1.38,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Sweet potato,Kharif,2020,2021,900.0,11239.0,12.49,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Sweet potato,Kharif,2021,2022,833.0,9620.0,11.55,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Sweet potato,Kharif,2022,2023,919.0,10638.0,11.58,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Turmeric,Rabi,2020,2021,1.0,1.0,1.0,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Turmeric,Rabi,2021,2022,1.0,2.0,2.0,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Turmeric,Rabi,2022,2023,1.0,2.0,2.0,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Urad,Kharif,2020,2021,4602.0,2177.0,0.47,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Urad,Kharif,2021,2022,4864.0,2252.0,0.46,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Urad,Kharif,2022,2023,4503.0,1454.0,0.32,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Urad,Summer,2020,2021,3984.0,2171.0,0.54,tonnes,tonnes/hectare
